Site Id;Site Name;Longitude;Latitude;River
94610;KOŃSKIE;20 24;51 11;DRZEWICZKA
95123;KOPANIEC;15 33;50 53;BÓBR
95630;KOPERNIA;20 30;50 32;NIDA
92361;KOPERNICA;17 28;53 47;BRDA
95363;KOPICE;17 28 34;50 38 45;NYSA KŁODZKA
96523;KORBIELÓW;19 21;49 34;KOSZARAWA
5304;KORFANTÓW;17 36;50 29;NYSA KŁODZKA
5352;KORFANTÓW II;17 36 46;50 28 30;NYSA KŁODZKA
92319;KORONOWO;17 56;53 19;BRDA
94455;KORZEKWIN;18 19 35;51 40 08;
92435;KORZENIEWO;18 °5 2';53 °4 5';WISŁA
93001;KOSARZYN;14 46;52 04;NYSA ŁUŻYCKA
92354;KOSOBUDY;17 46;53 53;WDA
92517;KOSTKOWO;19 55;53 22;DRWĘCA
93324;KOSTRZYN;17 14;52 24;WARTA
93010;KOSTRZYN NAD ODRĄ;14 40;52 35;WARTA
96537;KOSZARAWA;19 24;49 39;SOŁA
98505;KOSZARAWA-ŻŁABNE;19 26 45;49 40 06;SOŁA
93211;KOŚCIAN;16 38;52 06;KANAŁ MOSIŃSKI
93259;KOŚCIAN II;16 39 10;52 05 14;KANAŁ MOSIŃSKI
96507;KOŚCIELISKO-KIRY;19 52;49 16;ZAKOPIANKA
94135;KOŚCIELNA WIEŚ;15 12;51 25;BÓBR
1305;KOŚCIERZYNA;17 58;54 08;WIERZYCA
91807;KOWALE OLECKIE;22 25;54 10;WĘGORAPA
92408;KOWALEWO;18 55;53 10;DRWĘCA
96617;KOWANIEC;20 02;49 30;CZARNY DUNAJEC
95112;KOWARY;15 51;50 48;BÓBR
94729;KOZICE (ŻYCZYN);21 45;51 40;WISŁA
95437;KOŹLE;18 09;50 21;ODRA
96658;KOŹMICE WIELKIE;20 02;49 57;WISŁA
94338;KOŹMIN WIELKOPOLSKI;17 27;51 49;ORLA
94437;KOŹMINEK;18 21;51 48;PROSNA
94165;KOŻUCHÓW;15 36;51 45;ODRA
92316;KRAJENKA;17 00;53 18;GWDA
95505;KRAKÓW-BIELANY-KLASZTOR;19 51;50 03;WISŁA
5511;KRAKÓW-OBSERWATORIUM;19 58;50 04;WISŁA
93416;KRAMSK;18 26;52 16;WARTA
95323;KRAPKOWICE;17 57;50 28;ODRA
96833;KRASICZYN;22 39;49 47;SAN
94818;KRASIENIN;22 28;51 22;WIEPRZ
96731;KRASNA;21 51;49 47;KROŚCIENKA
92932;KRASNE;23 21;53 47;CZARNA HAŃCZA
93652;KRASNE;20 58;52 55;ORZYC
95648;KRASOCIN;20 07;50 54;PILICA
94425;KRASZEWICE;18 13;51 31;PROSNA
93666;KRASZEWO;20 34 02;52 47 27;WKRA
95848;KRAŚNIK LUBELSKI;22 16;50 56;WISŁA
91212;KRĄG;16 42;54 13;WIEPRZA
96712;KREMPNA;21 30;49 30;WISŁOKA
95581;KRĘCIWILK;19 22;50 33;WARTA
95755;KRĘPA GÓRNA;21 21;50 44;WISŁA
6704;KROSNO;21 45;49 41;WISŁOK
93103;KROSNO ODRZAŃSKIE;15 07;52 03;ODRA
6618;KROŚCIENKO;20 26;49 27;DUNAJEC
94331;KROTOSZYN;17 26;51 42;ORLA
95412;KRÓLÓWKA;18 47;50 05;ODRA
95459;KRUPSKI MŁYN;18 38;50 34;MAŁA PANEW
94528;KRUSZÓW;19 35;51 35;PILICA
91323;KRUSZYNA;17 02;54 21;SŁUPIA
6623;KRYNICA;20 58;49 25;POPRAD
93813;KRYNICA;22 18;52 18;LIWIEC
91523;KRYNICA MORSKA;19 27;54 23;ZALEW WIŚLANY
92814;KRYPNO KOŚCIELNE;22 53;53 17;NAREW
95424;KRYWAŁD;18 38;50 13;ODRA
96546;KRZECZÓW;19 54;49 41;RABA
94248;KRZEMIENIEWO;16 50;51 51;RÓW POLSKI
95486;KRZEPICE;18 44;50 58;LISWARTA
93501;KRZEPOCINEK;19 06;52 00;NER
95508;KRZESZOWICE;19 38;50 08;RUDAWA
95250;KRZESZÓW;16 04;50 45;BÓBR
93130;KRZESZYCE;15 01;52 35;KANAŁ POSTOMSKI
92106;KRZĘCIN;15 30;53 05;INA
92607;KRZYNOWŁOGA MAŁA;20 48;53 09;ORZYC
3202;KRZYŻ;15 59;52 53;NOTEĆ
95625;KSIĄŻ WIELKI;20 08;50 27;WISŁA
92645;KSIĄŻNIK;20 04;53 58;PASŁĘKA
94353;KSIĘGINICE;17 04 35;51 19 44;BARYCZ
95283;KUDOWA-ZDRÓJ;16 12 07;50 26 20;ŁABA
92556;KULIGI;19 42 18;53 26 12;DRWĘCA
95346;KUP;17 53;50 49;STOBRAWA
91550;KUROWO BRANIEWSKIE;19 45;54 14;ZALEW WIŚLANY
92703;KURPIE;21 46;53 03;NAREW
94704;KURZACZE;21 22;51 01;KAMIENNA
